gene,top_expr_partner,r,cohens_d,p,sig,likely_paralog,rank_all,pair_reported_before,report_evidence_level,reported_reference,dep_lowExpr,dep_highExpr,gene_root,partner_root
DCTN5,MPZL3,0.252,-0.605,5.2251205e-15,False,False,219,,,,-1.294,-1.131,DCTN,MPZL
CDC25B,RPS12,0.252,-0.583,3.6863684e-14,False,False,12,,,,-0.389,-0.262,CDC,RPS
RPL10A,ESRP2,0.251,-0.48,3.0096117e-12,False,False,192,,,,-2.175,-2.012,RPL,ESRP
ALDOA,ALDOC,0.251,-0.612,1.0076608e-14,False,False,241,,,,-1.365,-1.118,ALDOA,ALDOC
NUBP2,PRR15L,0.25,-0.46,1.3457141e-10,False,False,133,,,,-0.673,-0.559,NUBP,PRR
CHMP7,RPL3,0.25,-0.56,7.292021e-15,False,False,64,,,,-0.641,-0.456,CHMP,RPL
SETD5,SEC11C,0.249,-0.51,1.0347422e-11,False,False,131,,,,-0.362,-0.254,SETD,SEC
ALG1,GLB1L2,0.249,-0.591,6.4236844e-15,False,False,65,,,,-0.872,-0.692,ALG,GLB1L
RSAD1,MYB,0.249,-0.576,7.054000400000001e-16,False,False,158,,,,-0.425,-0.326,RSAD,MYB
NELFA,MAP3K21,0.248,-0.628,6.611766e-16,False,False,128,,,,-1.013,-0.801,NELFA,MAP3K
PFDN1,ZNF124,0.248,-0.523,4.9548104e-13,False,False,162,,,,-0.712,-0.519,PFDN,ZNF
MTOR,KRTCAP3,0.248,-0.537,6.340031e-13,False,False,106,,,,-1.225,-1.071,MTOR,KRTCAP
SBDS,HNRNPC,0.246,-0.526,2.896019e-12,False,False,220,,,,-1.904,-1.632,SBDS,HNRNPC
KDM8,HNF1B,0.246,-0.32,1.9731328e-06,False,False,82,,,,-0.533,-0.452,KDM,HNF
CCT8,TRAF4,0.246,-0.569,8.758205e-12,False,False,265,,,,-1.757,-1.621,CCT,TRAF
KLF16,PTPN6,0.245,-0.52,7.72294e-13,False,False,91,,,,-0.399,-0.298,KLF,PTPN
TCP1,SYK,0.245,-0.551,3.679165e-14,False,False,151,,,,-1.944,-1.765,TCP,SYK
RPS29,TLCD1,0.245,-0.569,1.998374e-15,False,False,239,,,,-2.933,-2.732,RPS,TLCD
ODR4,N4BP3,0.245,-0.524,1.1320899e-12,False,False,102,,,,-0.364,-0.27,ODR,N4BP
MMS19,CBFA2T3,0.244,-0.412,4.9259588e-09,False,False,275,,,,-0.733,-0.608,MMS,CBFA2T
TM2D2,IRF4,0.244,-0.317,5.3011504e-06,False,False,104,,,,-0.299,-0.235,TM2D,IRF
ERCC6L,PTPN6,0.242,-0.561,2.1798207e-14,False,False,23,,,,-0.321,-0.221,ERCC,PTPN
HSCB,CLDN3,0.242,-0.444,1.531711e-10,False,False,51,,,,-0.667,-0.546,HSCB,CLDN
SLC35B2,RINL,0.241,-0.622,1.9815885e-15,False,False,59,,,,-0.413,-0.252,SLC35B,RINL
SNUPN,ARHGAP9,0.24,-0.389,7.003581e-08,False,False,28,,,,-1.02,-0.909,SNUPN,ARHGAP
NELFB,CLDN3,0.239,-0.528,5.71647e-13,False,False,205,,,,-0.998,-0.796,NELFB,CLDN
HJV,SLC43A1,0.238,-0.603,4.0272937e-14,False,False,141,,,,-0.456,-0.365,HJV,SLC43A
TRAPPC13,NSMCE4A,0.237,-0.607,8.097839300000001e-16,False,False,49,,,,-0.402,-0.291,TRAPPC,NSMCE
RPL36,SLC29A2,0.235,-0.618,2.4443615e-15,False,False,245,,,,-2.186,-1.978,RPL,SLC29A
PDCD5,ATP2A3,0.235,-0.459,4.772944e-10,False,False,127,,,,-0.5,-0.398,PDCD,ATP2A
UFC1,TADA1,0.234,-0.565,2.394535e-13,False,False,88,,,,-0.432,-0.338,UFC,TADA
TAF1D,MBTD1,0.233,-0.492,3.837413e-12,False,False,249,,,,-0.741,-0.621,TAF,MBTD
ALG2,GRIN1,0.232,-0.421,8.885877e-08,False,False,194,,,,-1.423,-1.258,ALG,GRIN
CYFIP1,TAF4B,0.231,-0.562,2.2381725e-13,False,False,55,,,,-0.364,-0.267,CYFIP,TAF
ARHGAP11A,CCDC88C,0.231,-0.549,6.1989794000000005e-16,False,False,50,,,,-0.377,-0.283,ARHGAP,CCDC
TIMM9,ANKRD22,0.23,-0.464,1.164622e-09,False,False,38,,,,-0.551,-0.468,TIMM,ANKRD
NUP35,MARS2,0.23,-0.548,7.112503e-14,False,False,89,,,,-0.516,-0.398,NUP,MARS
GGPS1,ALDH3B2,0.229,-0.374,2.5504525e-08,False,False,34,,,,-1.342,-1.184,GGPS,ALDH3B
POLR1H,CREB3L4,0.228,-0.479,1.3588466e-09,False,False,92,,,,-0.927,-0.818,POLR,CREB3L
MLST8,GOLT1A,0.227,-0.494,2.5035396e-09,False,False,30,,,,-0.533,-0.374,MLST,GOLT
VBP1,TESC,0.227,-0.543,6.4588927e-13,False,False,66,,,,-0.664,-0.5,VBP,TESC
SURF4,LLGL2,0.227,-0.516,3.931901e-10,False,False,62,,,,-0.238,-0.128,SURF,LLGL
UBE2C,CCDC88C,0.226,-0.628,3.5039288e-17,False,False,41,,,,-0.798,-0.626,UBE,CCDC
NDC1,RAP1GAP,0.225,-0.53,7.9949615e-12,False,False,42,,,,-0.602,-0.459,NDC,RAP1GAP
CDK2,RB1,0.225,-0.424,2.5391673e-06,False,False,6,,,,-0.773,-0.624,CDK,RB
LSM6,VAMP8,0.225,-0.463,3.2481545e-11,False,False,126,,,,-0.975,-0.867,LSM,VAMP
WDR55,TLCD1,0.224,-0.465,1.6379819e-09,False,False,180,,,,-1.287,-1.154,WDR,TLCD
PFDN5,RPS6KL1,0.223,-0.504,3.146096e-14,False,False,272,,,,-0.845,-0.727,PFDN,RPS6KL
UBTF,VAMP8,0.223,-0.504,1.1477188e-11,False,False,215,,,,-1.763,-1.615,UBTF,VAMP
TMED2,ARHGAP19,0.22,-0.483,9.7402e-10,False,False,147,,,,-0.633,-0.497,TMED,ARHGAP
ELAVL1,JUP,0.22,-0.492,2.9033723e-10,False,False,19,,,,-0.362,-0.254,ELAVL,JUP
CCT3,MYB,0.22,-0.414,7.277171e-08,False,False,168,,,,-2.215,-2.079,CCT,MYB
AK6,ATP8A1,0.219,-0.533,2.215021e-13,False,False,75,,,,-1.19,-0.951,AK,ATP8A
TSEN54,PRR5,0.218,-0.505,8.611024e-12,False,False,243,,,,-0.905,-0.772,TSEN,PRR
ARMC5,STRBP,0.217,-0.431,4.2400847e-10,False,False,108,,,,-0.396,-0.286,ARMC,STRBP
OSBP,SH2D3A,0.216,-0.489,1.1842889e-11,False,False,78,,,,-0.486,-0.394,OSBP,SH2D
HAUS2,EEF1G,0.216,-0.478,1.3943936e-09,False,False,99,,,,-0.81,-0.731,HAUS,EEF
RABGGTB,TGM1,0.215,-0.541,6.775852e-12,False,False,87,,,,-1.561,-1.389,RABGGTB,TGM
SOCS3,CCDC88C,0.213,-0.475,8.8084956e-11,False,False,197,,,,-0.267,-0.136,SOCS,CCDC
HYOU1,CRACR2B,0.213,-0.414,2.683709e-07,False,False,257,,,,-1.098,-0.978,HYOU,CRACR
SPCS2,VAMP8,0.213,-0.509,4.5014892e-10,False,False,234,,,,-0.771,-0.659,SPCS,VAMP
PRKRA,IKZF1,0.213,-0.178,0.00020555002,False,False,107,,,,-0.707,-0.622,PRKRA,IKZF
JTB,AIF1L,0.212,-0.514,2.4351184e-11,False,False,217,,,,-0.305,-0.198,JTB,AIF
PTPMT1,CLDN3,0.211,-0.378,5.1795405e-07,False,False,54,,,,-0.567,-0.434,PTPMT,CLDN
MED26,EPB41,0.211,-0.49,1.6567188e-10,False,False,48,,,,-0.757,-0.61,MED,EPB
CDK7,KRT8,0.211,-0.492,7.7318804e-11,False,False,39,,,,-1.853,-1.697,CDK,KRT
CSH2,DENND1C,0.209,-0.546,3.249408e-15,False,False,159,,,,-0.491,-0.375,CSH,DENND
PPRC1,MACC1,0.207,-0.463,1.0331646e-10,False,False,138,,,,-0.517,-0.42,PPRC,MACC
DDX51,CDC42BPG,0.206,-0.46,1.1961837e-09,False,False,170,,,,-0.966,-0.845,DDX,CDC42BPG
INTS9,BTG2,0.205,-0.507,2.1097051e-11,False,False,149,,,,-1.784,-1.612,INTS,BTG
DDX10,PCDH1,0.205,-0.475,7.331792e-11,False,False,166,,,,-1.536,-1.393,DDX,PCDH
SRSF2,JUP,0.204,-0.501,5.8150998e-11,False,False,244,,,,-2.322,-2.129,SRSF,JUP
RPS16,ELMO3,0.203,-0.415,6.570084e-08,False,False,267,,,,-2.109,-1.986,RPS,ELMO
PDGFRA,TMC6,0.203,-0.385,1.6406562e-05,False,False,2,,,,-0.31,-0.228,PDGFRA,TMC
RPS3,CCDC88C,0.203,-0.495,4.106822e-11,False,False,264,,,,-2.545,-2.395,RPS,CCDC
NOP10,CYP4F8,0.202,-0.047,0.2575547,False,False,279,,,,-0.941,-0.93,NOP,CYP4F
SPCS3,VAMP8,0.202,-0.492,2.2253017e-11,False,False,242,,,,-1.147,-1.012,SPCS,VAMP
BARD1,STXBP2,0.202,-0.439,3.0077094e-09,False,False,98,,,,-0.767,-0.657,BARD,STXBP
PSMB4,TADA1,0.202,-0.514,4.693433e-11,False,False,173,,,,-2.316,-2.143,PSMB,TADA
CCT4,TESC,0.201,-0.446,6.583842e-09,False,False,93,,,,-2.225,-2.08,CCT,TESC
CDK5RAP3,CYFIP2,0.201,-0.425,1.3212471e-07,False,False,248,,,,-0.379,-0.309,CDK5RAP,CYFIP
TIMM10,DEGS2,0.201,-0.397,4.4892354e-07,False,False,135,,,,-1.216,-1.043,TIMM,DEGS
TSEN34,ESRP2,0.201,-0.444,2.9773446e-08,False,False,45,,,,-0.507,-0.412,TSEN,ESRP
GPN1,POLR1D,0.2,-0.487,1.594267e-11,False,False,226,,,,-1.785,-1.611,GPN,POLR
CCNK,NCBP2L,0.2,-0.06,0.0699294,False,False,74,,,,-1.597,-1.584,CCNK,NCBP
MAK16,H3-3A,0.2,-0.453,7.131415e-10,False,False,58,,,,-1.874,-1.727,MAK,H3-
RAB1A,PPP1CA,0.2,-0.451,7.8904264e-08,False,False,132,,,,-0.37,-0.295,RAB,PPP1CA
NSL1,SRXN1,0.199,-0.357,5.0383832e-08,False,False,233,,,,-1.209,-1.125,NSL,SRXN
SRSF10,MYH14,0.199,-0.462,7.471844e-10,False,False,237,,,,-0.762,-0.628,SRSF,MYH
TIMM22,DEF6,0.198,-0.428,3.1023337e-08,False,False,113,,,,-0.613,-0.509,TIMM,DEF
DHX33,PRR15L,0.198,-0.193,0.004337153,False,False,213,,,,-1.175,-1.109,DHX,PRR
HAUS1,PTPN7,0.197,-0.1,0.057844732,False,False,229,,,,-1.602,-1.568,HAUS,PTPN
EIF3M,GPR87,0.197,-0.329,4.0049777e-06,False,False,163,,,,-1.159,-1.075,EIF,GPR
ANAPC4,ZNF195,0.197,-0.453,5.174056e-10,False,False,269,,,,-1.32,-1.191,ANAPC,ZNF
NBAS,USE1,0.195,-0.469,7.297982e-11,False,False,178,,,,-0.658,-0.52,NBAS,USE
MZT2A,TMC6,0.195,-0.402,9.520164e-08,False,False,155,,,,-0.466,-0.398,MZT,TMC
TBCB,XK,0.194,-0.364,8.444273e-07,False,False,282,,,,-1.084,-0.967,TBCB,XK
RANBP3,MAPK13,0.194,-0.475,7.0037326e-10,False,False,191,,,,-0.396,-0.3,RANBP,MAPK
EIF3B,MYC,0.193,-0.437,4.0015715e-09,False,False,111,,,,-1.853,-1.708,EIF,MYC
POLR1E,UBE2QL1,0.193,-0.286,1.4244188e-05,False,False,136,,,,-0.726,-0.638,POLR,UBE2QL
RPS11,KCNH2,0.193,-0.419,1.5593103e-07,False,False,276,,,,-2.589,-2.437,RPS,KCNH
PAK1IP1,TMEM238,0.193,-0.462,3.1626866e-09,False,False,185,,,,-1.349,-1.205,PAK1IP,TMEM
AASDHPPT,UNC13D,0.192,-0.451,1.2183312e-09,False,False,115,,,,-0.331,-0.239,AASDHPPT,UNC
MET,TPD52,0.192,-0.286,0.00013020764,False,False,4,,,,-0.171,-0.121,MET,TPD
FOXK1,DMTN,0.191,-0.417,1.5713711e-08,False,False,73,,,,-0.323,-0.216,FOXK,DMTN
SF3A2,SRGN,0.191,-0.43,1.1826256e-08,False,False,231,,,,-1.486,-1.36,SF3A,SRGN
UTP6,HCAR1,0.191,-0.352,3.1614268e-06,False,False,232,,,,-1.007,-0.944,UTP,HCAR
CLCC1,CENPV,0.19,-0.452,2.002301e-09,False,False,211,,,,-0.463,-0.384,CLCC,CENPV
NOP2,ZHX2,0.19,-0.43,3.2533197e-08,False,False,171,,,,-1.22,-1.116,NOP,ZHX
PPAN,C11orf52,0.19,-0.351,9.228685e-06,False,False,152,,,,-1.136,-1.046,PPAN,C11orf
WBP11,PHB2,0.188,-0.458,7.450351e-10,False,False,184,,,,-1.147,-1.019,WBP,PHB
RPS9,CMTM4,0.188,-0.32,3.7746875e-06,False,False,270,,,,-1.802,-1.682,RPS,CMTM
SOD1,MYRIP,0.188,-0.358,4.143453e-06,False,False,277,,,,-1.444,-1.278,SOD,MYRIP
RPTOR,FAM83B,0.187,-0.381,8.220875e-08,False,False,25,,,,-0.94,-0.837,RPTOR,FAM
SPOUT1,S100A14,0.187,-0.417,1.4159893e-07,False,False,76,,,,-1.405,-1.276,SPOUT,S100A
SCFD1,STRBP,0.186,-0.311,1.8130368e-05,False,False,251,,,,-1.427,-1.343,SCFD,STRBP
POTEI,NPM3,0.186,-0.384,5.5553407e-08,False,False,189,,,,-0.446,-0.378,POTEI,NPM
DDX55,DUSP23,0.186,-0.438,1.735438e-09,False,False,182,,,,-1.062,-0.932,DDX,DUSP
TAF1A,RBKS,0.185,-0.401,8.1538644e-07,False,False,44,,,,-0.773,-0.697,TAF,RBKS
RPS15,LMX1B,0.184,-0.408,1.8922506e-08,False,False,278,,,,-2.26,-2.119,RPS,LMX
PNO1,GSTO2,0.184,-0.443,2.7459691e-08,False,False,94,,,,-1.121,-1.03,PNO,GSTO
PWP1,NHLRC1,0.183,-0.397,1.0176775e-07,False,False,214,,,,-0.764,-0.679,PWP,NHLRC
CCT6A,RNF149,0.183,-0.387,5.8589944e-08,False,False,97,,,,-1.695,-1.599,CCT,RNF
CHMP2A,TRIM51,0.182,-0.056,0.12094433,False,False,218,,,,-1.858,-1.839,CHMP,TRIM
NOC4L,TSTD1,0.182,-0.436,1.1396982e-08,False,False,203,,,,-1.018,-0.902,NOC,TSTD
SNAPC1,MYO1A,0.182,-0.177,0.019482972,False,False,121,,,,-1.635,-1.571,SNAPC,MYO
NOC3L,RHOH,0.18,-0.266,0.0004909109,False,False,70,,,,-0.717,-0.643,NOC,RHOH
