gene,sl_genotype_max_effect_size,sl_best_context,sl_fdr,sl_n_contexts,sl_all_contexts,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner
SEC62,0.0,,1.0,0,,,False,
LYRM4,0.418682366907075,NF1_loss,0.026161954610277,1,NF1_loss,TSG-loss,True,NF1
C19orf53,0.3351773051298306,CDKN2A_del,1.150509211085294e-05,1,CDKN2A_del,TSG-loss,True,CDKN2A
TAF1C,0.3129215850957031,PTEN_loss,0.0193863443675268,1,PTEN_loss,TSG-loss,True,PTEN
SBDS,0.0,,1.0,0,,,False,
KRTAP21-1,0.0,,1.0,0,,,False,
INTS12,0.0,,1.0,0,,,False,
DDX51,0.3419631095468595,PTEN_loss,0.0248072552305984,1,PTEN_loss,TSG-loss,True,PTEN
DDX55,0.0,,1.0,0,,,False,
PRKRA,0.0,,1.0,0,,,False,
PREB,0.0,,1.0,0,,,False,
TAF1A,0.0,,1.0,0,,,False,
CCT4,0.3753332109158775,PTEN_loss,0.0043319570301149,1,PTEN_loss,TSG-loss,True,PTEN
HSCB,0.3164264283285088,PTEN_loss,0.0033989207600973,1,PTEN_loss,TSG-loss,True,PTEN
EIF3B,0.0,,1.0,0,,,False,
HAUS2,0.0,,1.0,0,,,False,
SETD5,0.0,,1.0,0,,,False,
UBTF,0.0,,1.0,0,,,False,
ERCC6L,0.0,,1.0,0,,,False,
NDC1,0.0,,1.0,0,,,False,
PES1,0.0,,1.0,0,,,False,
CYFIP1,0.0,,1.0,0,,,False,
PDCD5,0.0,,1.0,0,,,False,
RABGGTB,0.0,,1.0,0,,,False,
SRSF2,0.0,,1.0,0,,,False,
DPH3,0.0,,1.0,0,,,False,
PPAN,0.0,,1.0,0,,,False,
UBE2C,0.0,,1.0,0,,,False,
ACTL6A,0.0,,1.0,0,,,False,
RSAD1,0.0,,1.0,0,,,False,
PPP2R1A,0.3510646080602241,EGFR_amp,0.0094779050947152,1,EGFR_amp,oncogene-amp,False,
RPTOR,0.66723363240172,PDGFRA_amp,0.0084227445934492,2,PDGFRA_amp;PTEN_loss,oncogene-amp,True,PTEN
TMED2,0.0,,1.0,0,,,False,
PPP1R12A,0.3877567702266944,EGFR_amp,0.0002451866527959,1,EGFR_amp,oncogene-amp,False,
SNUPN,0.0,,1.0,0,,,False,
MAK16,0.0,,1.0,0,,,False,
CHMP7,0.5575000216213699,PDGFRA_amp,0.0099961113264262,1,PDGFRA_amp,oncogene-amp,False,
RAB1A,0.0,,1.0,0,,,False,
CDK2,0.7837150495945473,RB1_loss,2.5791400561342066e-07,1,RB1_loss,TSG-loss,True,RB1
SPCS2,0.0,,1.0,0,,,False,
ELAC2,0.0,,1.0,0,,,False,
GPR61,0.0,,1.0,0,,,False,
GRB2,0.4569838635861266,EGFR_amp,3.1390257752534075e-05,1,EGFR_amp,oncogene-amp,False,
ODR4,0.0,,1.0,0,,,False,
ZNHIT3,0.0,,1.0,0,,,False,
ELAVL1,0.0,,1.0,0,,,False,
UBA5,0.0,,1.0,0,,,False,
EGLN1,0.0,,1.0,0,,,False,
SRF,0.3004622395571507,PTEN_loss,0.0262842561633905,1,PTEN_loss,TSG-loss,True,PTEN
RPS17,0.0,,1.0,0,,,False,
CCT3,0.3001326422915397,EGFR_amp,0.0399197313039501,1,EGFR_amp,oncogene-amp,False,
RAC1,0.3058873532380375,CDKN2B_del,0.0008441357373449,1,CDKN2B_del,TSG-loss,True,CDKN2B
EXT1,0.5699949142822083,PDGFRA_amp,0.0021421837637145,1,PDGFRA_amp,oncogene-amp,False,
LSM6,0.6397874269787748,PDGFRA_amp,0.0098996923624846,1,PDGFRA_amp,oncogene-amp,False,
E2F3,1.5339048555804256,RB1_loss,1.3203750678222845e-15,1,RB1_loss,TSG-loss,True,RB1
MZT2A,0.0,,1.0,0,,,False,
NELFA,0.0,,1.0,0,,,False,
PPP1CB,0.6053730381816245,PDGFRA_amp,0.0206115327574473,1,PDGFRA_amp,oncogene-amp,False,
KDM8,0.0,,1.0,0,,,False,
TAF1D,0.0,,1.0,0,,,False,
TIMM10,0.0,,1.0,0,,,False,
USP36,0.0,,1.0,0,,,False,
PFDN1,0.0,,1.0,0,,,False,
SKA1,0.0,,1.0,0,,,False,
HAUS4,0.3399119433150883,RB1_loss,0.0437057735852888,1,RB1_loss,TSG-loss,True,RB1
MED11,0.0,,1.0,0,,,False,
CCDC59,0.0,,1.0,0,,,False,
CSH2,0.0,,1.0,0,,,False,
TSEN34,0.0,,1.0,0,,,False,
DSCC1,0.0,,1.0,0,,,False,
INTS9,0.0,,1.0,0,,,False,
PFDN4,0.6837998996210635,PDGFRA_amp,0.0385326991880655,1,PDGFRA_amp,oncogene-amp,False,
EPRS1,0.3864537890402572,NF1_loss,0.0452377702105753,1,NF1_loss,TSG-loss,True,NF1
PTPMT1,0.4528026376487683,PTEN_loss,0.0012639628053936,1,PTEN_loss,TSG-loss,True,PTEN
TSEN54,0.0,,1.0,0,,,False,
POLR1G,0.0,,1.0,0,,,False,
PPRC1,0.0,,1.0,0,,,False,
NBAS,0.0,,1.0,0,,,False,
PFDN5,0.0,,1.0,0,,,False,
RINT1,0.0,,1.0,0,,,False,
WWTR1,0.3761592495024453,CDKN2B_del,3.537006362694832e-06,2,CDKN2B_del;CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B
SOCS3,0.0,,1.0,0,,,False,
WBP11,0.0,,1.0,0,,,False,
ARMC5,0.0,,1.0,0,,,False,
DDX10,0.3669152419448782,NF1_loss,0.0385695824607819,1,NF1_loss,TSG-loss,True,NF1
UFC1,0.0,,1.0,0,,,False,
CCT8,0.0,,1.0,0,,,False,
RSL1D1,0.0,,1.0,0,,,False,
ELMO2,0.3782354981649677,MTAP_del,0.0003592425241291,1,MTAP_del,passenger-del(PRMT5-axis),False,
HAUS1,0.0,,1.0,0,,,False,
MED26,0.3317592821882492,EGFR_amp,0.0009211197022204,1,EGFR_amp,oncogene-amp,False,
FOXK1,0.4359304491229615,PTEN_loss,7.279975599466148e-05,1,PTEN_loss,TSG-loss,True,PTEN
NOC3L,0.0,,1.0,0,,,False,
HAUS5,0.0,,1.0,0,,,False,
HNRNPH1,0.3792088277026111,RB1_loss,0.0445264990454598,1,RB1_loss,TSG-loss,True,RB1
NOB1,0.0,,1.0,0,,,False,
HJV,0.340053715758613,RB1_loss,0.034935510037113,1,RB1_loss,TSG-loss,True,RB1
NUP54,0.3233377840508031,TP53_mut,2.145429906834721e-06,1,TP53_mut,TSG-loss,True,TP53
PAK1IP1,0.0,,1.0,0,,,False,
RPS21,0.0,,1.0,0,,,False,
ALG2,0.0,,1.0,0,,,False,
ARPC2,0.0,,1.0,0,,,False,
ACTR3,0.3492803011017772,CDKN2B_del,2.7311237855321095e-05,3,CDKN2B_del;MTAP_del;CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B
PTPN11,0.0,,1.0,0,,,False,
SLC35B2,0.6015461033524869,PDGFRA_amp,0.0154131052627016,1,PDGFRA_amp,oncogene-amp,False,
COPA,0.0,,1.0,0,,,False,
CDC42,0.0,,1.0,0,,,False,
NARS1,0.0,,1.0,0,,,False,
PSTK,0.4442780921477753,PTEN_loss,0.0027777580416972,1,PTEN_loss,TSG-loss,True,PTEN
NOP2,0.0,,1.0,0,,,False,
FOXO3,0.0,,1.0,0,,,False,
NOL12,0.0,,1.0,0,,,False,
MLST8,0.5249323283545043,PTEN_loss,0.0002024796069537,1,PTEN_loss,TSG-loss,True,PTEN
RRP1,0.0,,1.0,0,,,False,
NUP35,0.0,,1.0,0,,,False,
H3C8,0.0,,1.0,0,,,False,
NUBP2,0.0,,1.0,0,,,False,
IMP3,0.0,,1.0,0,,,False,
ARFRP1,0.0,,1.0,0,,,False,
ARHGAP11A,0.0,,1.0,0,,,False,
CIR1,0.0,,1.0,0,,,False,
MIS18BP1,0.0,,1.0,0,,,False,
TUBB,0.6210103064217017,PDGFRA_amp,0.0064477050791558,1,PDGFRA_amp,oncogene-amp,False,
SCFD1,0.0,,1.0,0,,,False,
NOC4L,0.0,,1.0,0,,,False,
AASDHPPT,0.3066954355013909,PTEN_loss,0.0385695824607819,1,PTEN_loss,TSG-loss,True,PTEN
CCNK,0.0,,1.0,0,,,False,
MT1E,0.0,,1.0,0,,,False,
BRCA1,0.0,,1.0,0,,,False,
CHMP2A,0.0,,1.0,0,,,False,
TOP1,0.0,,1.0,0,,,False,
RPL36,0.0,,1.0,0,,,False,
EEFSEC,0.0,,1.0,0,,,False,
PNO1,0.0,,1.0,0,,,False,
JTB,0.0,,1.0,0,,,False,
SNAPC5,0.0,,1.0,0,,,False,
EIF3M,0.3761063183160869,PTEN_loss,0.0066726043625053,1,PTEN_loss,TSG-loss,True,PTEN
C19orf25,0.0,,1.0,0,,,False,
NELFCD,0.0,,1.0,0,,,False,
SRSF10,0.0,,1.0,0,,,False,
POTEI,0.0,,1.0,0,,,False,
AMY2A,0.0,,1.0,0,,,False,
RPL26L1,0.3105183163379105,MTAP_del,0.0057658629247684,1,MTAP_del,passenger-del(PRMT5-axis),False,
TM2D2,0.0,,1.0,0,,,False,
PDCD2,0.0,,1.0,0,,,False,
VBP1,0.6406358418295095,PDGFRA_amp,0.0151070308166494,1,PDGFRA_amp,oncogene-amp,False,
CDK5RAP3,0.0,,1.0,0,,,False,
SOD1,0.0,,1.0,0,,,False,
WDR55,0.0,,1.0,0,,,False,
TRAPPC11,0.0,,1.0,0,,,False,
RPS29,0.0,,1.0,0,,,False,
BARD1,0.0,,1.0,0,,,False,
DNAJA3,0.0,,1.0,0,,,False,
HYOU1,0.0,,1.0,0,,,False,
CHMP3,0.0,,1.0,0,,,False,
RRP15,0.0,,1.0,0,,,False,
DCTN5,0.0,,1.0,0,,,False,
NUP155,0.0,,1.0,0,,,False,
SNAPC1,0.0,,1.0,0,,,False,
FARSA,0.0,,1.0,0,,,False,
ANAPC4,0.0,,1.0,0,,,False,
MED28,0.0,,1.0,0,,,False,
PSMB7,0.3202704088760991,EGFR_amp,0.0038255014411177,1,EGFR_amp,oncogene-amp,False,
USP10,0.0,,1.0,0,,,False,
WDR77,0.8697844227749637,MTAP_del,8.491513308968517e-17,3,MTAP_del;CDKN2B_del;CDKN2A_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B
CDS2,0.0,,1.0,0,,,False,
TARS1,0.0,,1.0,0,,,False,
SEPSECS,0.0,,1.0,0,,,False,
UFM1,0.0,,1.0,0,,,False,
ZFP36L1,0.0,,1.0,0,,,False,
NVL,0.0,,1.0,0,,,False,
MMS19,0.0,,1.0,0,,,False,
PSMA1,0.0,,1.0,0,,,False,
PWP1,0.0,,1.0,0,,,False,
TBCB,0.0,,1.0,0,,,False,
OSBP,0.0,,1.0,0,,,False,
TRAPPC1,0.0,,1.0,0,,,False,
XAB2,0.0,,1.0,0,,,False,
NOP10,0.0,,1.0,0,,,False,
RPS25,0.3014451631099459,CDKN2A_del,0.0003280627112242,1,CDKN2A_del,TSG-loss,True,CDKN2A
NOPCHAP1,0.0,,1.0,0,,,False,
POLE2,0.0,,1.0,0,,,False,
RPS3,0.0,,1.0,0,,,False,
TEAD1,0.0,,1.0,0,,,False,
LONP1,0.0,,1.0,0,,,False,
ALDOA,0.0,,1.0,0,,,False,
SF3A2,0.0,,1.0,0,,,False,
UTP6,0.0,,1.0,0,,,False,
EIF3E,0.3122400969479417,PTEN_loss,0.0114025976505757,1,PTEN_loss,TSG-loss,True,PTEN
NOP56,0.0,,1.0,0,,,False,
TRAPPC4,0.0,,1.0,0,,,False,
NSL1,0.0,,1.0,0,,,False,
FXN,0.0,,1.0,0,,,False,
HINFP,0.0,,1.0,0,,,False,
GPN1,0.0,,1.0,0,,,False,
NHP2,0.0,,1.0,0,,,False,
NELFB,0.0,,1.0,0,,,False,
VCP,0.0,,1.0,0,,,False,
SAP18,0.0,,1.0,0,,,False,
CSE1L,0.0,,1.0,0,,,False,
MSTO1,0.6989973843836298,PDGFRA_amp,0.045809034639743,1,PDGFRA_amp,oncogene-amp,False,
TIMM22,0.0,,1.0,0,,,False,
SGO1,0.4666378496480584,RB1_loss,0.0037997326638715,2,RB1_loss;TP53_mut,TSG-loss,True,RB1;TP53
RPS16,0.0,,1.0,0,,,False,
PSMB4,0.0,,1.0,0,,,False,
GGPS1,0.0,,1.0,0,,,False,
HSPA9,0.3041229445126431,PTEN_loss,0.0193863443675268,1,PTEN_loss,TSG-loss,True,PTEN
ARF4,0.0,,1.0,0,,,False,
INTS8,0.6407233834978036,RB1_loss,7.958850784904015e-05,1,RB1_loss,TSG-loss,True,RB1
MED31,0.0,,1.0,0,,,False,
ORC4,0.0,,1.0,0,,,False,
POLR1E,0.0,,1.0,0,,,False,
MED17,0.0,,1.0,0,,,False,
AK6,0.3426619862067956,CDKN2A_del,3.9487298446284155e-05,1,CDKN2A_del,TSG-loss,True,CDKN2A
NCKAP1,0.0,,1.0,0,,,False,
MTOR,0.0,,1.0,0,,,False,
RANBP3,0.0,,1.0,0,,,False,
TUBGCP6,0.0,,1.0,0,,,False,
TLN1,0.3860413037391069,CDKN2A_del,7.564084149379578e-07,3,CDKN2A_del;MTAP_del;CDKN2B_del,TSG-loss,True,CDKN2A;CDKN2B
RNF4,0.6282928836024411,PDGFRA_amp,0.0116279283690168,1,PDGFRA_amp,oncogene-amp,False,
CLNS1A,0.0,,1.0,0,,,False,
ZNF593,0.0,,1.0,0,,,False,
RAE1,0.0,,1.0,0,,,False,
WDHD1,0.4118916271496122,RB1_loss,0.0094779050947152,1,RB1_loss,TSG-loss,True,RB1
NOM1,0.0,,1.0,0,,,False,
UBL5,0.0,,1.0,0,,,False,
PELP1,0.0,,1.0,0,,,False,
VHL,0.0,,1.0,0,,,False,
RPS9,0.0,,1.0,0,,,False,
CDK7,0.3070466927934987,PTEN_loss,0.0101018469935703,1,PTEN_loss,TSG-loss,True,PTEN
PSMA2,0.0,,1.0,0,,,False,
RPS15,0.0,,1.0,0,,,False,
RPS11,0.0,,1.0,0,,,False,
DHX33,0.0,,1.0,0,,,False,
CLCC1,0.0,,1.0,0,,,False,
RRP12,0.0,,1.0,0,,,False,
